,Date,Heure,Prix,Consommation,Production,Export
41,2021-01-02,17,190.6119805253117,76609.87189067417,"              techno   Volume     Prix
0             eolien        0        0
1            solaire        0        0
2            fil_eau  1660.48        0
3       cogeneration  947.295        0
4          nucleaire  53412.2        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  2976.84       50
6               ccgt     6000   56.073
11  interconnexion_2     3000  61.5819
7            tac gaz      650  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",36.89367449791462
42,2021-01-02,18,191.4395866057603,77971.31711389603,"              techno   Volume     Prix
0             eolien        0        0
1            solaire        0        0
2            fil_eau  1776.91        0
3       cogeneration  949.912        0
4          nucleaire  53447.2        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac     3356       50
6               ccgt     6000   56.073
11  interconnexion_2     3000  61.5819
7            tac gaz      650  89.0422
13  interconnexion_4  791.289  191.513
8          tac fioul        0  206.435",0.0
43,2021-01-02,19,190.57383909529844,75484.90111703504,"              techno   Volume     Prix
0             eolien        0        0
1            solaire        0        0
2            fil_eau  1675.37        0
3       cogeneration  952.136        0
4          nucleaire  53459.4        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  2929.13       50
6               ccgt     6000   56.073
11  interconnexion_2     3000  61.5819
7            tac gaz      650  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",1181.136574896358
44,2021-01-02,20,88.96305946890638,72251.2847327973,"              techno   Volume     Prix
0             eolien        0        0
1            solaire        0        0
2            fil_eau  1544.05        0
3       cogeneration  954.621        0
4          nucleaire  53414.2        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  2202.68       50
6               ccgt     6000   56.073
11  interconnexion_2     3000  61.5819
7            tac gaz  135.748  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",3000.0
45,2021-01-02,21,61.55194245116928,70613.62557780047,"              techno   Volume     Prix
0             eolien        0        0
1            solaire        0        0
2            fil_eau  1421.76        0
3       cogeneration  953.836        0
4          nucleaire  53375.1        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  1762.48       50
6               ccgt     6000   56.073
11  interconnexion_2  2100.49  61.5819
7            tac gaz        0  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",3000.0
46,2021-01-02,22,190.52593464594517,73281.07699353411,"              techno   Volume     Prix
0             eolien        0        0
1            solaire        0        0
2            fil_eau  1368.96        0
3       cogeneration  951.481        0
4          nucleaire  53485.8        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  2443.09       50
6               ccgt     6000   56.073
11  interconnexion_2     3000  61.5819
7            tac gaz      650  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",2618.2700554939074
47,2021-01-02,23,88.97267320926062,72107.04513076927,"              techno   Volume     Prix
0             eolien        0        0
1            solaire        0        0
2            fil_eau  1365.35        0
3       cogeneration  952.659        0
4          nucleaire  53663.1        8
10  interconnexion_1     3000  24.9697
9            charbon     2000  28.0412
12  interconnexion_3     3000  44.2353
5                lac  1927.68       50
6               ccgt     6000   56.073
11  interconnexion_2     3000  61.5819
7            tac gaz  198.237  89.0422
13  interconnexion_4        0  191.513
8          tac fioul        0  206.435",3000.0
48,2021-01-03,0,56.02753839216097,70227.01691274345,"              techno        Volume     Prix
0             eolien   5009.744157        0
1            solaire      0.000000        0
2            fil_eau   3047.418731        0
3       cogeneration   3634.245725        0
4          nucleaire  51984.881859        8
10  interconnexion_1   3000.000000  24.9697
9            charbon   2000.000000  28.0412
12  interconnexion_3   3000.000000  44.2353
5                lac   1277.167830       50
6               ccgt   3273.558612   56.073
11  interconnexion_2      0.000000  61.5819
7            tac gaz      0.000000  89.0422
13  interconnexion_4      0.000000  191.513
8          tac fioul      0.000000  206.435",6000.0
49,2021-01-03,1,56.01355146034992,68759.94339561369,"              techno        Volume     Prix
0             eolien   5201.976464        0
1            solaire      0.000000        0
2            fil_eau   2940.565853        0
3       cogeneration   3615.333335        0
4          nucleaire  51486.726886        8
10  interconnexion_1   3000.000000  24.9697
9            charbon   2000.000000  28.0412
12  interconnexion_3   3000.000000  44.2353
5                lac   1080.998155       50
6               ccgt   2434.342703   56.073
11  interconnexion_2      0.000000  61.5819
7            tac gaz      0.000000  89.0422
13  interconnexion_4      0.000000  191.513
8          tac fioul      0.000000  206.435",6000.0
50,2021-01-03,2,49.93665453715557,65518.30837351035,"              techno        Volume     Prix
0             eolien   5787.540188        0
1            solaire      0.000000        0
2            fil_eau   2860.531781        0
3       cogeneration   3616.355626        0
4          nucleaire  50972.000225        8
10  interconnexion_1   3000.000000  24.9697
9            charbon   2000.000000  28.0412
12  interconnexion_3   3000.000000  44.2353
5                lac    281.880553       50
6               ccgt      0.000000   56.073
11  interconnexion_2      0.000000  61.5819
7            tac gaz      0.000000  89.0422
13  interconnexion_4      0.000000  191.513
8          tac fioul      0.000000  206.435",5999.999999999993
