"week","day","techno","ecart_type","moyenne"
43,4,"eolien",3399.72320728017,3137.0505952381
43,4,"solaire",288.901228500104,821.491071428572
43,4,"fil_eau",1236.06050289604,3261.8869047619
43,4,"lac",384.861814845438,2237.83035714286
43,4,"cogeneration",153.455684328554,1566.81547619048
43,4,"nucleaire",3429.00608237474,42282.9583333333
43,5,"consommation",2736.24209516716,53392.5535714286
43,5,"eolien",1611.30190176714,2192.87202380952
43,5,"solaire",272.166823328209,808.267857142857
43,5,"fil_eau",1251.87522601677,3108.00297619048
43,5,"lac",438.016394292664,2613.97023809524
43,5,"cogeneration",154.644007367083,1639.01785714286
43,5,"nucleaire",3518.54973978921,41571.7351190476
43,6,"consommation",2383.27357551399,52948.9672619048
43,6,"eolien",1592.64621268107,2187.97916666667
43,6,"solaire",284.506309151642,824.764880952381
43,6,"fil_eau",1392.6298721829,3136.41071428571
43,6,"lac",423.2163917824,2358.40476190476
43,6,"cogeneration",165.106870314852,1639.11607142857
43,6,"nucleaire",4131.54443003035,42457
43,7,"consommation",2872.79626154491,47770.3898809524
43,7,"eolien",3688.51761348917,4192.40773809524
43,7,"solaire",412.145703878129,843.232142857143
43,7,"fil_eau",1385.91761535576,2881.47023809524
43,7,"lac",322.126182941471,1326.65178571429
43,7,"cogeneration",122.484761091882,1582.48214285714
43,7,"nucleaire",5507.22462144814,40228.3869047619
44,1,"consommation",2945.28351409388,46711.3869047619
44,1,"eolien",3289.57011120575,5338.55133928571
44,1,"solaire",275.251862894976,668.703869047619
44,1,"fil_eau",1594.23929665329,2870.00148809524
44,1,"lac",472.899958026113,1067.7306547619
44,1,"cogeneration",672.740861410078,2461.18973214286
44,1,"nucleaire",3891.03435946049,39865.4449404762
44,2,"consommation",4532.79694471185,54440.3571428571
44,2,"eolien",2662.47888368182,4185.85119047619
44,2,"solaire",340.323093081205,671.360119047619
44,2,"fil_eau",941.858995077711,2863.75
44,2,"lac",753.750413003212,1987.10714285714
44,2,"cogeneration",599.077725885202,2333.90773809524
44,2,"nucleaire",3805.51995354321,42332.4761904762
44,3,"consommation",4640.13872383424,56015.0714285714
44,3,"eolien",2734.24368983275,3385.82440476191
44,3,"solaire",247.972488880122,789.982142857143
44,3,"fil_eau",1310.20104967568,3202.73214285714
44,3,"lac",812.363214600166,2143.04761904762
44,3,"cogeneration",701.429971647677,2162.50297619048
44,3,"nucleaire",3997.57577739862,43547.2797619048
44,4,"consommation",3273.57988574484,55545.6160714286
44,4,"eolien",3170.59321484735,3019.25892857143
44,4,"solaire",207.544279953783,660.068452380953
44,4,"fil_eau",1337.76622901248,3235.53273809524
44,4,"lac",841.626076429211,2193.15773809524
44,4,"cogeneration",856.062771657946,2239.34226190476
